nama,umur,one day,one month,three months,six months,one year,two year,three year,five year
Capital Money Market Fund,4.16986301369863,0.013999999999999999,0.6930000000000001,2.099,4.018,7.5569999999999995,14.252999999999998,21.616,
Sucorinvest Money Market Fund,5.358904109589041,0.023,0.622,1.796,3.643,7.303,13.566,22.496,44.328
Reksa Dana Mega Dana Kas,13.471232876712328,0.048,0.583,1.735,3.55,7.217999999999999,13.722000000000001,20.833,38.507999999999996
Maybank Dana Pasar Uang,8.479452054794521,0.017,0.615,1.7930000000000001,3.4939999999999998,6.986000000000001,13.184999999999999,20.521,37.022
Mega Asset Multicash,7.967123287671233,0.04,0.7040000000000001,1.8780000000000001,3.546,6.83,11.645,18.421000000000003,35.095
Setiabudi Dana Pasar Uang,3.106849315068493,0.017,0.5599999999999999,1.583,3.2520000000000002,6.689,13.050999999999998,19.928,
Pinnacle Money Market Fund,3.4383561643835616,0.015,0.525,1.547,3.179,6.579,12.937999999999999,20.008,
Lancar Victoria Merkurius,4.736986301369863,0.017,0.523,1.492,3.11,6.489000000000001,13.245999999999999,20.125999999999998,
Prospera Dana Lancar,3.5095890410958903,0.022000000000000002,0.486,1.435,3.302,6.481000000000001,13.797,21.692,
Principal Cash Fund,8.186301369863013,0.013,0.517,1.5190000000000001,3.1919999999999997,6.401999999999999,12.052999999999999,18.767,36.012
Reksa Dana Syariah Capital Sharia Money Market,2.23013698630137,0.015,0.525,1.542,3.078,6.393,12.391,,
Manulife Dana Kas II,11.101369863013698,0.012,0.509,1.497,3.045,6.38,11.5,17.195,32.42
Cipta Dana Cash,4.726027397260274,0.01,0.571,1.5599999999999998,3.0620000000000003,6.358999999999999,12.791,19.827,
HPAM Ultima Money Market,4.5479452054794525,0.013999999999999999,0.51,1.456,3.071,6.357,12.133,16.643,
Syailendra Dana Kas,4.715068493150685,0.017,0.5559999999999999,1.562,3.1759999999999997,6.324000000000001,12.212,19.84,
Majoris Pasar Uang Syariah Indonesia,2.1342465753424658,0.016,0.5760000000000001,1.5190000000000001,3.231,6.322,11.815000000000001,,
Syailendra Sharia Money Market Fund,2.3972602739726026,0.016,0.543,1.532,3.085,6.319,11.643,,
Avrist Ada Kas Mutiara,2.8794520547945206,0.016,0.519,1.505,3.082,6.3149999999999995,12.526000000000002,,
BNI-AM Dana Pasar Uang Kemilau,4.950684931506849,0.015,0.473,1.51,3.1780000000000004,6.261,11.926,19.022,
Reksa Dana Nusadana Lancar,2.210958904109589,0.016,0.511,1.484,2.922,6.129,12.034,,
Cipta Dana Kas Syariah,1.082191780821918,0.011000000000000001,0.163,0.932,2.181,6.0089999999999995,,,
Bahana Likuid Syariah,5.123287671232877,0.015,0.473,1.349,2.8080000000000003,5.813,11.715,18.105,34.069
TRIM KAS 2,11.887671232876713,0.015,0.51,1.5150000000000001,2.938,5.794,11.401,18.060000000000002,35.388999999999996
Batavia Dana Kas Maxima,13.038356164383561,0.015,0.48900000000000005,1.385,2.807,5.777,11.024000000000001,16.872,32.42
Danamas Rupiah Plus,13.728767123287671,0.015,0.506,1.4200000000000002,2.863,5.766,11.008999999999999,16.177,28.335
Danareksa Seruni Pasar Uang II,12.052054794520547,0.013,0.459,1.252,2.662,5.733,11.017000000000001,16.91,32.25
Bahana Dana Likuid,15.876712328767123,0.015,0.479,1.336,2.749,5.726,11.408999999999999,18.376,35.855
Mandiri Investa Pasar Uang,15.435616438356165,0.015,0.477,1.359,2.792,5.669,10.443,16.112000000000002,31.094
Trimegah Kas Syariah,3.1835616438356165,-0.003,0.473,1.323,2.762,5.602,10.496,15.93,
Schroder Dana Likuid,15.728767123287671,0.01,0.42500000000000004,1.29,2.7720000000000002,5.268,9.600999999999999,14.584,26.85
Phillip Money Market Fund,9.613698630136986,0.013,0.42500000000000004,1.201,2.475,5.158,10.079,15.445,30.720999999999997
RHB Rupiah Liquid Fund,8.726027397260275,0.012,0.434,1.317,2.664,5.111000000000001,11.212,16.927,32.974
BNP Paribas Rupiah Plus,16.383561643835616,0.011000000000000001,0.396,1.185,2.456,4.765,8.645,11.472,21.399
MNC Dana Lancar,15.441095890410958,0.013,0.381,0.991,2.213,4.67,10.019,16.801,34.2
Batavia Dana Likuid,6.126027397260274,0.006,0.27599999999999997,0.774,1.7069999999999999,3.514,6.406000000000001,8.963000000000001,13.428999999999998
Emco Barokah Syariah,4.791780821917809,0.013999999999999999,0.395,0.757,1.29,2.995,7.9479999999999995,14.573,
Mandiri Pasar Uang Syariah Ekstra,0.8328767123287671,0.013,0.464,1.376,2.763,,,,
